Date,Price,Open,High,Low,Vol.,Change %
6/8/2018,"30,041","30,319","30,374","29,651",6.20M,-0.92%
6/11/2018,"29,762","30,041","30,207","29,317",6.49M,-0.93%
6/12/2018,"29,818","29,429","29,818","28,650",7.76M,0.19%
6/13/2018,"29,651","29,818","29,818","28,928",4.23M,-0.56%
6/14/2018,"29,262","29,540","29,595","28,372",4.32M,-1.31%
6/15/2018,"29,484","29,206","29,484","28,872",8.52M,0.76%
6/18/2018,"28,761","29,484","29,484","28,483",4.94M,-2.45%
6/19/2018,"27,982","28,650","28,761","27,760",5.34M,-2.71%
6/20/2018,"28,038","27,982","28,316","27,593",4.61M,0.20%
6/21/2018,"27,927","27,815","28,038","27,648",3.47M,-0.40%
6/22/2018,"28,093","27,815","28,093","27,704",3.27M,0.59%
6/25/2018,"28,205","28,093","28,372","27,815",3.50M,0.40%
6/26/2018,"28,093","28,149","28,205","27,871",3.40M,-0.40%
6/27/2018,"28,149","28,093","28,149","27,982",2.64M,0.20%
6/28/2018,"28,205","28,093","28,427","27,982",2.91M,0.20%
6/29/2018,"28,372","28,205","28,372","28,093",3.30M,0.59%
7/2/2018,"28,427","28,372","28,928","27,815",2.32M,0.19%
7/3/2018,"27,815","28,316","28,427","27,815",2.48M,-2.15%
7/4/2018,"27,871","27,815","27,982","27,732",1.74M,0.20%
7/5/2018,"27,815","27,871","27,927","27,648",1.77M,-0.20%
7/6/2018,"28,928","27,732","28,928","27,676",2.68M,4.00%
7/9/2018,"28,427","28,761","28,928","27,871",2.21M,-1.73%
7/10/2018,"28,093","28,427","28,427","27,927",1.85M,-1.17%
7/11/2018,"28,149","27,871","28,928","27,676",2.33M,0.20%
7/12/2018,"28,260","28,149","28,928","27,927",1.65M,0.39%
7/13/2018,"28,594","28,260","28,705","28,038",1.16M,1.18%
7/16/2018,"28,817","28,538","28,928","28,483",1.50M,0.78%
7/17/2018,"28,984","29,206","29,373","28,650",1.79M,0.58%
7/18/2018,"30,486","28,984","30,597","28,984",3.23M,5.18%
7/19/2018,"31,042","30,652","31,097","29,762",868.21K,1.82%
7/20/2018,"30,819","31,042","31,153","30,819",1.01M,-0.72%
7/23/2018,"31,988","30,708","31,988","30,486",1.16M,3.79%
7/24/2018,"31,709","31,821","32,043","30,597",874.70K,-0.87%
7/25/2018,"32,099","31,709","32,210","31,598",846.44K,1.23%
7/26/2018,"33,434","32,043","33,434","31,765",1.06M,4.16%
7/27/2018,"33,935","33,434","33,935","33,045",1.04M,1.50%
7/30/2018,"33,712","34,046","34,046","33,100",647.43K,-0.66%
7/31/2018,"34,491","33,601","35,325","33,211",1.68M,2.31%
8/1/2018,"34,491","34,491","34,491","33,378",1.72M,0.00%
8/2/2018,"34,213","35,047","35,325","33,879",1.26M,-0.81%
8/3/2018,"34,491","34,157","34,491","33,990",1.01M,0.81%
8/6/2018,"34,380","34,213","34,658","33,935",957.05K,-0.32%
8/7/2018,"34,658","34,380","34,880","33,990",1.08M,0.81%
8/8/2018,"34,992","34,658","35,214","34,658",1.08M,0.96%
8/9/2018,"35,047","34,992","35,214","33,935",1.18M,0.16%
8/10/2018,"36,160","35,047","36,160","35,047",1.50M,3.18%
8/13/2018,"35,882","36,327","36,327","34,769",1.27M,-0.77%
8/14/2018,"36,382","35,882","36,382","35,770",945.29K,1.39%
8/15/2018,"36,271","36,494","36,494","35,325",1.26M,-0.31%
