Date,Price,Open,High,Low,Vol.,Change %
2/28/2018,"20,147.40","19,239.90","20,238.20","19,149.10",5.91M,3.10%
3/1/2018,"19,965.90","19,965.90","20,540.70","19,663.40",4.40M,-0.90%
3/2/2018,"21,357.50","19,723.90","21,357.50","19,663.40",11.02M,6.97%
3/5/2018,"21,720.50","21,660.00","22,234.80","21,478.50",10.44M,1.70%
3/6/2018,"22,386.00","21,720.50","22,507.00","21,297.00",6.08M,3.06%
3/7/2018,"22,144.00","22,204.50","22,446.50","21,962.50",6.43M,-1.08%
3/8/2018,"22,325.50","21,902.00","22,476.80","21,841.50",5.36M,0.82%
3/9/2018,"21,781.00","22,446.50","22,507.00","21,781.00",3.58M,-2.44%
3/12/2018,"20,994.50","21,781.00","22,083.50","20,934.00",6.71M,-3.61%
3/13/2018,"22,083.50","20,691.90","22,083.50","20,661.70",3.96M,5.19%
3/14/2018,"21,871.80","22,083.50","22,446.50","21,871.80",2.62M,-0.96%
3/15/2018,"21,962.50","21,478.50","21,962.50","21,478.50",2.57M,0.41%
3/16/2018,"21,720.50","21,902.00","22,053.30","21,629.70",4.60M,-1.10%
3/19/2018,"23,233.10","22,083.50","23,233.10","21,902.00",11.00M,6.96%
3/20/2018,"23,233.10","23,112.10","23,717.10","22,991.10",3.42M,0.00%
3/21/2018,"23,112.10","23,354.10","23,414.60","22,930.60",4.28M,-0.52%
3/22/2018,"23,112.10","23,081.80","23,444.80","22,991.10",4.93M,0.00%
3/23/2018,"22,265.00","22,204.50","22,870.00","22,144.00",7.86M,-3.67%
3/26/2018,"23,202.80","22,113.80","23,202.80","22,113.80",3.90M,4.21%
3/27/2018,"22,688.50","23,475.10","23,596.10","22,567.50",3.74M,-2.22%
3/28/2018,"22,204.50","22,567.50","22,991.10","22,204.50",4.39M,-2.13%
3/29/2018,"22,144.00","22,386.00","22,446.50","21,690.20",6.02M,-0.27%
3/30/2018,"22,023.00","21,902.00","22,507.00","21,690.20",6.16M,-0.55%
4/2/2018,"22,628.00","22,355.80","22,809.50","22,083.50",4.91M,2.75%
4/3/2018,"22,265.00","22,567.50","22,809.50","22,265.00",3.64M,-1.60%
4/4/2018,"22,688.50","22,446.50","23,172.60","22,386.00",10.50M,1.90%
4/5/2018,"22,960.80","22,960.80","23,051.60","22,083.50",9.39M,1.20%
4/6/2018,"23,717.10","22,991.10","23,838.10","22,960.80",9.07M,3.29%
4/9/2018,"24,080.10","23,717.10","24,322.10","23,717.10",7.34M,1.53%
4/10/2018,"23,354.10","24,140.60","24,140.60","23,202.80",7.08M,-3.01%
4/11/2018,"22,204.50","23,354.10","23,414.60","22,174.30",8.73M,-4.92%
4/12/2018,"22,265.00","21,841.50","22,567.50","21,781.00",4.50M,0.27%
4/13/2018,"21,660.00","22,597.80","22,597.80","21,660.00",5.49M,-2.72%
4/16/2018,"20,813.00","21,478.50","21,599.50","20,813.00",6.05M,-3.91%
4/17/2018,"21,962.50","20,934.00","21,962.50","20,752.50",5.59M,5.52%
4/18/2018,"21,266.70","22,083.50","22,355.80","21,176.00",4.19M,-3.17%
4/19/2018,"21,478.50","21,266.70","21,750.70","20,691.90",6.38M,1.00%
4/20/2018,"22,386.00","21,478.50","22,386.00","21,448.20",6.53M,4.23%
4/23/2018,"20,843.20","22,628.00","22,688.50","20,843.20",4.76M,-6.89%
4/24/2018,"20,873.50","20,570.90","21,236.50","20,298.70",4.05M,0.15%
4/26/2018,"19,421.40","20,873.50","20,994.50","19,421.40",5.53M,-6.96%
4/27/2018,"19,905.40","18,755.90","19,905.40","18,604.60",4.34M,2.49%
